TrainOrTest,Data,Sample Size,Median,OW,OW*,CWM,CEWM,SSIN,SSDE,RegE,RegC,RegS,Lambda_RegE,Lambda_RegC,Lambda_RegS
Train,Inflation,1,0.0211,0.6705,0.3069,0.2559,0.2346,0.3042,0.3042,0.6638,0.6457,0.5795,,,
Train,Inflation,2,0.0179,0.5142,0.2452,0.1847,0.1458,0.2449,0.2449,0.5136,0.5088,0.4972,,,
Train,Inflation,3,0.0141,0.4143,0.2163,0.1680,0.1195,0.2150,0.2150,0.3854,0.3545,0.4050,,,
Train,Inflation,4,0.0104,0.3579,0.2277,0.1712,0.1304,0.2277,0.2277,0.3398,0.3446,0.3351,,,
Train,Inflation,5,-0.0021,0.2591,0.1568,0.1331,0.0948,0.1457,0.1457,0.2581,0.2499,0.2574,,,
Train,Inflation,6,0.0014,0.2165,0.1260,0.1161,0.0768,0.1249,0.1249,0.2103,0.2117,0.2156,,,
Train,Inflation,7,0.0039,0.0867,0.0393,0.0357,0.0301,0.0391,0.0391,0.0655,0.0738,0.0751,,,
Train,Inflation,8,0.0066,0.1533,0.0603,0.0568,0.0477,0.0577,0.0577,0.1522,0.1320,0.1510,,,
Train,Inflation,9,0.0033,0.1708,0.0754,0.0692,0.0465,0.0698,0.0698,0.1657,0.1541,0.1677,,,
Train,Unemployment,1,0.0204,0.3532,0.1277,0.0935,0.0788,0.1274,0.1274,0.2966,0.2967,0.3157,,,
Train,Unemployment,2,0.0290,0.2770,0.1225,0.0894,0.0386,0.1216,0.1216,0.2691,0.2617,0.2691,,,
Train,Unemployment,3,0.0392,0.2938,0.1356,0.0894,0.0475,0.1353,0.1353,0.2902,0.2829,0.2912,,,
Train,Unemployment,4,0.0310,0.1959,0.1044,0.0730,0.0368,0.1038,0.1038,0.1873,0.1859,0.1913,,,
Train,Unemployment,5,0.0140,0.1138,0.0573,0.0515,0.0524,0.0524,0.0524,0.1101,0.1021,0.0790,,,
Train,Unemployment,6,0.0259,0.1415,0.0783,0.0645,0.0491,0.0755,0.0755,0.1035,0.1211,0.1226,,,
Train,Unemployment,7,0.0177,0.1215,0.0713,0.0490,0.0452,0.0663,0.0663,0.1020,0.1035,0.1123,,,
Train,Unemployment,8,0.0124,0.0803,0.0609,0.0430,0.0341,0.0559,0.0559,0.0592,0.0689,0.0725,,,
Train,Unemployment,9,0.0085,0.0799,0.0593,0.0503,0.0367,0.0485,0.0485,0.0628,0.0678,0.0648,,,
Test,Inflation,1,0.0036,-0.2461,-0.0185,0.0065,0.0067,-0.0236,-0.0236,-0.2197,-0.1704,-0.1511,0.04,0.07,0.19
Test,Inflation,2,0.0033,-0.2130,-0.0273,-0.0014,0.0058,-0.0289,-0.0289,-0.2150,-0.1950,-0.2025,0.03,0.10,0.13
Test,Inflation,3,0.0032,-0.2267,-0.0326,-0.0597,-0.0540,-0.0356,-0.0356,-0.2126,-0.1859,-0.2031,0.45,0.80,0.18
Test,Inflation,4,0.0034,-0.2203,-0.0429,-0.0621,-0.0744,-0.0429,-0.0429,-0.2064,-0.2106,-0.1761,0.56,0.49,0.62
Test,Inflation,5,0.0060,-0.1938,-0.0579,-0.0489,-0.0360,-0.0499,-0.0499,-0.1851,-0.1585,-0.1816,0.15,0.49,0.18
Test,Inflation,6,0.0057,-0.2897,-0.0979,-0.0948,-0.0493,-0.1069,-0.1069,-0.2342,-0.2433,-0.2742,0.60,0.56,0.21
Test,Inflation,7,0.0048,0.0458,-0.0615,-0.0179,0.0217,-0.0543,-0.0543,0.0756,0.0435,0.0176,2.00,2.00,2.00
Test,Inflation,8,-0.0114,0.0314,0.0747,0.0870,0.0784,0.0326,0.0326,0.0569,0.1300,0.0640,0.48,3.00,0.76
Test,Inflation,9,0.0731,-0.9002,-0.5212,-0.3251,-0.0990,-0.6382,-0.6382,-0.7593,-0.6842,-0.8549,1.00,3.00,0.83
Test,Unemployment,1,0.0015,-0.0593,-0.0898,-0.0175,-0.0138,-0.0952,-0.0952,-0.0537,-0.0308,-0.0676,1.00,1.00,1.00
Test,Unemployment,2,-0.0015,-0.0165,0.0089,0.0168,0.0179,0.0078,0.0078,0.0012,0.0089,0.0050,0.67,1.00,0.71
Test,Unemployment,3,-0.0064,-0.0598,-0.0012,0.0266,0.0140,-0.0027,-0.0027,-0.0406,-0.0287,-0.0430,0.57,1.00,0.45
Test,Unemployment,4,-0.0050,-0.0086,0.0046,0.0264,0.0165,0.0029,0.0029,0.0120,0.0139,0.0101,0.86,1.00,0.67
Test,Unemployment,5,-0.0032,-0.0126,0.0291,0.0411,0.0129,0.0129,0.0129,0.0045,0.0191,0.0173,1.00,2.00,4.00
Test,Unemployment,6,-0.0319,-0.1167,-0.0212,0.0254,0.0190,-0.0489,-0.0489,-0.0682,-0.0441,-0.0862,6.00,4.00,4.00
Test,Unemployment,7,-0.0529,-0.3396,-0.1270,-0.0654,-0.0508,-0.1237,-0.1237,-0.2240,-0.1934,-0.2871,6.00,6.00,4.00
Test,Unemployment,8,-0.0457,-0.0239,-0.0422,0.0442,-0.0210,-0.1292,-0.1292,-0.0823,0.0005,-0.0950,6.00,5.00,5.00
Test,Unemployment,9,-0.0457,0.1033,0.0522,0.1278,0.0484,0.1351,0.1351,0.0693,0.1025,0.1354,5.00,5.00,9.00
Train,1,1,-0.3318,0.0668,0.0670,0.0266,0.0364,0.0000,0.0364,0.0000,0.0266,0.0364,,,
Train,1,2,-0.0381,0.0848,0.0460,0.0158,0.0349,0.0349,0.0349,0.0000,0.0158,0.0349,,,
Train,1,3,-0.0341,0.0370,0.0283,-0.0193,0.0197,0.0197,0.0197,0.0000,-0.0193,0.0197,,,
Train,1,4,-0.0191,0.0065,0.0065,-0.0075,0.0029,0.0029,0.0029,0.0000,-0.0075,0.0029,,,
Train,1,5,-0.0366,0.0100,0.0094,0.0060,0.0053,0.0053,0.0053,0.0000,0.0060,0.0053,,,
Train,1,6,-0.0251,0.0133,0.0102,0.0061,0.0099,0.0099,0.0099,0.0000,0.0061,0.0099,,,
Train,1,7,-0.0215,0.0202,0.0189,0.0024,0.0177,0.0177,0.0177,0.0000,0.0024,0.0177,,,
Train,1,8,-0.0679,0.1023,NA,0.0904,0.0751,0.0751,0.0751,0.1008,0.0904,0.0751,,,
Train,1,9,-0.0342,0.0377,NA,0.0317,0.0325,0.0325,0.0325,0.0000,0.0317,0.0325,,,
Train,2,1,-0.1137,0.2323,0.2166,-0.0251,0.1811,0.1811,0.1811,0.0000,0.1739,0.1811,,,
Train,2,2,-0.0034,0.0504,0.0381,0.0246,0.0353,0.0353,0.0353,0.0000,0.0246,0.0353,,,
Train,2,3,-0.0295,0.0473,0.0325,0.0324,0.0268,0.0290,0.0290,0.0000,0.0324,0.0290,,,
Train,2,4,-0.0117,0.0164,0.0163,0.0130,0.0160,0.0160,0.0160,0.0000,0.0130,0.0160,,,
Train,2,5,0.0066,0.0766,0.0565,0.0546,0.0519,0.0519,0.0519,0.0000,0.0546,0.0519,,,
Train,2,6,0.0223,0.0399,0.0093,0.0303,0.0288,0.0293,0.0293,0.0000,0.0303,0.0293,,,
Train,2,7,0.0184,0.0458,NA,0.0328,0.0301,0.0332,0.0332,0.0000,0.0328,0.0332,,,
Train,2,8,-0.0464,0.0930,NA,0.0772,0.0274,0.0740,0.0740,0.0000,0.0772,0.0740,,,
Train,2,9,-0.0295,0.0263,NA,0.0255,0.0069,0.0111,0.0111,0.0000,0.0255,0.0111,,,
Train,3,1,-0.2236,0.4684,0.4347,0.0220,0.4218,0.4218,0.4218,0.3607,0.4192,0.4218,,,
Train,3,2,-0.0391,0.1134,0.1040,0.0488,0.1037,0.1037,0.1037,0.1136,0.1130,0.1037,,,
Train,3,3,-0.0727,0.0719,0.0575,0.0485,0.0417,0.0417,0.0417,0.0000,0.0485,0.0417,,,
Train,3,4,-0.0326,0.1071,0.0878,0.0863,0.0863,0.0863,0.0863,0.0939,0.0863,0.0863,,,
Train,3,5,-0.0069,0.0162,0.0108,0.0070,0.0072,0.0072,0.0072,0.0000,0.0070,0.0072,,,
Train,3,6,0.0034,0.0147,0.0040,0.0070,0.0107,0.0107,0.0107,0.0000,0.0070,0.0107,,,
Train,3,7,0.0029,0.0217,NA,0.0145,0.0108,0.0128,0.0128,0.0000,0.0145,0.0128,,,
Train,3,8,-0.0423,0.0586,NA,0.0233,0.0321,0.0321,0.0321,0.0000,0.0233,0.0321,,,
Train,3,9,-0.0332,0.0451,NA,0.0271,0.0203,0.0203,0.0203,0.0000,0.0271,0.0203,,,
Train,4,1,-0.2118,0.5600,0.5343,0.2112,0.2112,0.4481,0.4481,0.5173,0.5011,0.4481,,,
Train,4,2,-0.0622,0.1314,0.1223,0.0523,0.0523,0.0970,0.0970,0.0000,0.0523,0.0970,,,
Train,4,3,-0.0844,0.2668,0.1557,0.1557,0.1195,0.1352,0.1352,0.2668,0.2607,0.2245,,,
Train,4,4,-0.0501,0.2085,0.1526,0.1501,0.0996,0.1508,0.1508,0.1907,0.1501,0.1508,,,
Train,4,5,-0.0118,0.1230,NA,0.0381,0.0389,0.0389,0.0389,0.0000,0.0381,0.0389,,,
Train,4,6,-0.0096,0.0580,NA,0.0337,0.0359,0.0359,0.0359,0.0000,0.0337,0.0359,,,
Train,4,7,-0.0093,0.0445,NA,0.0278,0.0296,0.0296,0.0296,0.0000,0.0278,0.0296,,,
Train,4,8,-0.0353,0.0896,NA,0.0451,0.0542,0.0542,0.0542,0.0896,0.0451,0.0542,,,
Train,4,9,-0.0332,0.0987,NA,0.0555,0.0478,0.0478,0.0478,0.0987,0.0985,0.0987,,,
Train,5,1,-0.2084,0.5638,0.5624,0.4426,0.4426,0.4426,0.4426,0.5405,0.4426,0.4426,,,
Train,5,2,-0.0966,0.2246,0.1395,0.0991,0.1299,0.1299,0.1299,0.2246,0.2216,0.1299,,,
Train,5,3,-0.0804,0.3915,0.2280,0.2275,0.2144,0.2144,0.2144,0.3915,0.3915,0.3915,,,
Train,5,4,-0.0457,0.1188,0.0949,0.0946,0.0615,0.0934,0.0934,0.0000,0.0946,0.0934,,,
Train,5,5,-0.0127,0.1232,NA,0.0397,0.0396,0.0396,0.0396,0.1219,0.0397,0.0396,,,
Train,5,6,-0.0105,0.0733,NA,0.0394,0.0378,0.0378,0.0378,0.0052,0.0394,0.0378,,,
Train,5,7,-0.0050,0.0712,NA,0.0412,0.0391,0.0391,0.0391,0.0389,0.0412,0.0404,,,
Train,5,8,-0.0116,0.0955,NA,0.0548,0.0466,0.0504,0.0504,0.0955,0.0953,0.0819,,,
Train,5,9,-0.0208,0.0676,NA,0.0460,0.0379,0.0379,0.0379,0.0486,0.0551,0.0589,,,
Train,6,1,0.0019,1.0000,0.0212,0.0201,0.0200,0.0212,0.0212,0.0001,0.0202,0.0212,,,
Train,6,2,0.0021,0.3666,0.0200,0.0194,0.0193,0.0200,0.0200,0.0000,0.0194,0.0200,,,
Train,6,3,0.0021,0.2747,0.0204,0.0191,0.0189,0.0204,0.0204,0.0004,0.0191,0.0208,,,
Train,6,4,-0.0007,0.2642,0.0247,0.0209,0.0161,0.0247,0.0247,0.0000,0.0209,0.0247,,,
Train,6,5,-0.0007,0.2366,0.0241,0.0205,0.0159,0.0241,0.0241,0.0000,0.0205,0.0241,,,
Train,6,6,-0.0007,0.2160,0.0240,0.0206,0.0159,0.0240,0.0240,0.0001,0.0206,0.0241,,,
Train,6,7,-0.0003,0.2249,0.0226,0.0189,0.0105,0.0226,0.0226,0.0000,0.0189,0.0226,,,
Train,6,8,-0.0002,0.1887,0.0226,0.0188,0.0105,0.0226,0.0226,0.0000,0.0188,0.0226,,,
Train,6,9,-0.0011,0.1903,0.0195,0.0167,0.0143,0.0195,0.0195,0.0000,0.0167,0.0195,,,
Train,7,1,-0.0085,0.9999,0.0552,0.0462,0.0401,0.0552,0.0552,0.0000,0.0462,0.0552,,,
Train,7,2,-0.0085,0.5456,0.0542,0.0456,0.0396,0.0542,0.0542,0.0000,0.0456,0.0542,,,
Train,7,3,-0.0083,0.3933,0.0550,0.0464,0.0393,0.0550,0.0550,0.0000,0.0464,0.0550,,,
Train,7,4,-0.0037,0.3564,0.0448,0.0390,0.0277,0.0448,0.0448,0.0000,0.0390,0.0448,,,
Train,7,5,-0.0037,0.3203,0.0441,0.0386,0.0276,0.0441,0.0441,0.0000,0.0386,0.0441,,,
Train,7,6,-0.0045,0.2731,0.0442,0.0393,0.0267,0.0442,0.0442,0.0000,0.0393,0.0442,,,
Train,7,7,-0.0037,0.2647,0.0429,0.0383,0.0257,0.0429,0.0429,0.0000,0.0383,0.0429,,,
Train,7,8,-0.0036,0.2372,0.0429,0.0384,0.0257,0.0429,0.0429,0.0000,0.0384,0.0429,,,
Train,7,9,-0.0039,0.2209,0.0397,0.0351,0.0244,0.0397,0.0397,0.0000,0.0351,0.0397,,,
Train,8,1,-0.0010,0.9989,0.0454,0.0393,0.0377,0.0454,0.0454,0.8583,0.8637,0.8651,,,
Train,8,2,-0.0010,0.6951,0.0451,0.0389,0.0373,0.0451,0.0451,0.0000,0.0389,0.0451,,,
Train,8,3,-0.0008,0.4808,0.0418,0.0377,0.0370,0.0418,0.0418,0.0000,0.0377,0.0418,,,
Train,8,4,0.0011,0.4418,0.0353,0.0300,0.0270,0.0353,0.0353,0.0000,0.0300,0.0353,,,
Train,8,5,0.0010,0.4268,0.0347,0.0299,0.0269,0.0347,0.0347,0.4268,0.4268,0.4268,,,
Train,8,6,0.0002,0.3822,0.0368,0.0314,0.0271,0.0368,0.0368,0.0171,0.0314,0.0368,,,
Train,8,7,-0.0005,0.3225,0.0378,0.0322,0.0262,0.0378,0.0378,0.0224,0.0322,0.0378,,,
Train,8,8,-0.0005,0.3127,0.0378,0.0323,0.0262,0.0378,0.0378,0.3127,0.3127,0.3127,,,
Train,8,9,-0.0011,0.2755,0.0354,0.0302,0.0252,0.0354,0.0354,0.0000,0.0302,0.0354,,,
Train,9,1,-0.0060,1.0000,0.0555,0.0517,0.0514,0.0555,0.0555,0.9957,0.9958,0.9959,,,
Train,9,2,-0.0061,0.7274,0.0550,0.0515,0.0512,0.0550,0.0550,0.5205,0.0515,0.0550,,,
Train,9,3,-0.0061,0.5290,0.0512,0.0512,0.0512,0.0512,0.0512,0.0000,0.0512,0.0512,,,
Train,9,4,0.0008,0.4912,0.0516,0.0439,0.0334,0.0516,0.0516,0.1060,0.1108,0.0516,,,
Train,9,5,0.0007,0.4893,0.0516,0.0444,0.0334,0.0516,0.0516,0.1012,0.1041,0.0516,,,
Train,9,6,-0.0006,0.4284,0.0554,0.0490,0.0334,0.0554,0.0554,0.4284,0.4284,0.4284,,,
Train,9,7,-0.0005,0.4267,0.0552,0.0488,0.0335,0.0552,0.0552,0.4267,0.4267,0.4267,,,
Train,9,8,-0.0015,0.3977,0.0551,0.0489,0.0331,0.0551,0.0551,0.3977,0.3977,0.3977,,,
Train,9,9,-0.0018,0.3568,0.0529,0.0469,0.0320,0.0529,0.0529,0.3568,0.3568,0.3568,,,
Train,10,1,0.0028,0.2771,0.0032,0.0055,0.0050,0.0071,0.0071,0.0000,0.0055,0.0071,,,
Train,10,2,0.0028,0.2025,0.0036,0.0057,0.0052,0.0074,0.0074,0.0000,0.0057,0.0074,,,
Train,10,3,0.0007,0.1235,0.0045,0.0038,0.0033,0.0045,0.0045,0.0000,0.0038,0.0045,,,
Train,10,4,0.0007,0.0559,0.0047,0.0039,0.0023,0.0047,0.0047,0.0000,0.0039,0.0047,,,
Train,10,5,0.0002,0.0602,0.0064,0.0057,0.0039,0.0064,0.0064,0.0000,0.0057,0.0064,,,
Train,10,6,-0.0017,0.0043,0.0024,0.0024,0.0024,0.0024,0.0024,0.0000,0.0024,0.0024,,,
Train,10,7,-0.0016,0.0031,0.0020,0.0020,0.0020,0.0020,0.0020,0.0000,0.0020,0.0020,,,
Train,10,8,-0.0061,0.0500,NA,0.0179,0.0179,0.0179,0.0179,0.0000,0.0179,0.0179,,,
Train,10,9,-0.0045,0.0472,NA,0.0124,0.0124,0.0124,0.0124,0.0000,0.0124,0.0124,,,
Train,11,1,-0.0011,0.2794,0.0092,0.0092,0.0047,0.0092,0.0092,0.0000,0.0092,0.0092,,,
Train,11,2,-0.0011,0.2212,0.0097,0.0097,0.0097,0.0097,0.0097,0.0000,0.0097,0.0097,,,
Train,11,3,-0.0010,0.1641,0.0027,0.0022,0.0014,0.0027,0.0027,0.0000,0.0022,0.0027,,,
Train,11,4,-0.0011,0.1255,0.0027,0.0020,0.0015,0.0027,0.0027,0.0000,0.0020,0.0027,,,
Train,11,5,-0.0011,0.0021,0.0011,0.0009,0.0005,0.0011,0.0011,0.0000,0.0009,0.0011,,,
Train,11,6,-0.0015,0.0152,0.0026,0.0023,0.0022,0.0026,0.0026,0.0000,0.0023,0.0026,,,
Train,11,7,-0.0014,0.0124,NA,0.0024,0.0023,0.0025,0.0025,0.0000,0.0024,0.0025,,,
Train,11,8,-0.0039,0.0385,NA,0.0107,0.0107,0.0107,0.0107,0.0000,0.0107,0.0107,,,
Train,11,9,-0.0038,0.0827,NA,0.0140,0.0140,0.0140,0.0140,0.0682,0.0656,0.0656,,,
Train,12,1,0.0059,0.4886,0.0131,0.0110,0.0101,0.0131,0.0131,0.1102,0.1186,0.1164,,,
Train,12,2,0.0060,0.4400,0.0134,0.0113,0.0103,0.0134,0.0134,0.0000,0.0113,0.0134,,,
Train,12,3,0.0021,0.0675,0.0046,0.0039,0.0032,0.0046,0.0046,0.0000,0.0039,0.0046,,,
Train,12,4,0.0022,0.0487,0.0004,0.0034,0.0024,0.0043,0.0043,0.0000,0.0034,0.0043,,,
Train,12,5,0.0018,0.0206,0.0038,0.0037,0.0024,0.0038,0.0038,0.0000,0.0037,0.0038,,,
Train,12,6,-0.0002,0.0163,0.0060,0.0054,0.0038,0.0060,0.0060,0.0000,0.0054,0.0060,,,
Train,12,7,-0.0002,0.0150,0.0061,0.0054,0.0038,0.0061,0.0061,0.0000,0.0054,0.0061,,,
Train,12,8,-0.0075,0.0828,NA,0.0260,0.0260,0.0260,0.0260,0.0770,0.0593,0.0593,,,
Train,12,9,-0.0060,0.0913,NA,0.0234,0.0234,0.0234,0.0234,0.0845,0.0680,0.0680,,,
Train,13,1,0.0042,0.1733,0.0119,0.0104,0.0071,0.0119,0.0119,0.0000,0.0104,0.0119,,,
Train,13,2,0.0044,0.1322,0.0131,0.0118,0.0077,0.0131,0.0131,0.0173,0.0118,0.0131,,,
Train,13,3,0.0007,0.1015,0.0062,0.0062,0.0061,0.0061,0.0061,0.0936,0.0939,0.0939,,,
Train,13,4,0.0008,0.1176,0.0074,0.0058,0.0047,0.0074,0.0074,0.1147,0.1147,0.1148,,,
Train,13,5,0.0001,0.0698,0.0068,0.0061,0.0045,0.0068,0.0068,0.0507,0.0492,0.0476,,,
Train,13,6,-0.0012,0.0229,0.0082,0.0082,0.0082,0.0082,0.0082,0.0000,0.0082,0.0082,,,
Train,13,7,-0.0012,0.0201,0.0082,0.0082,0.0082,0.0082,0.0082,0.0000,0.0082,0.0082,,,
Train,13,8,-0.0091,0.0848,NA,0.0264,0.0264,0.0264,0.0264,0.0829,0.0819,0.0819,,,
Train,13,9,-0.0089,0.1168,NA,0.0313,0.0313,0.0313,0.0313,0.1112,0.1082,0.1082,,,
Train,14,1,0.0046,0.1584,0.0166,0.0143,0.0105,0.0166,0.0166,0.0000,0.0143,0.0166,,,
Train,14,2,0.0040,0.1382,0.0167,0.0153,0.0062,0.0167,0.0167,0.1176,0.1189,0.1197,,,
Train,14,3,0.0012,0.1711,0.0087,0.0078,0.0051,0.0087,0.0087,0.1678,0.1674,0.1682,,,
Train,14,4,0.0006,0.1757,0.0098,0.0084,0.0062,0.0098,0.0098,0.1716,0.1715,0.1713,,,
Train,14,5,-0.0005,0.1043,0.0082,0.0092,0.0092,0.0093,0.0093,0.0954,0.0953,0.0953,,,
Train,14,6,-0.0012,0.0500,NA,0.0125,0.0125,0.0125,0.0125,0.0000,0.0125,0.0125,,,
Train,14,7,-0.0012,0.0428,NA,0.0125,0.0125,0.0125,0.0125,0.0000,0.0125,0.0125,,,
Train,14,8,-0.0063,0.0962,NA,0.0304,0.0304,0.0304,0.0304,0.0925,0.0918,0.0918,,,
Train,14,9,-0.0061,0.1303,NA,0.0347,0.0347,0.0347,0.0347,0.1217,0.1196,0.1196,,,
Train,15,1,0.0041,0.1326,0.0184,0.0154,0.0132,0.0184,0.0184,0.0502,0.0588,0.0596,,,
Train,15,2,0.0022,0.2078,0.0131,0.0118,0.0078,0.0131,0.0131,0.1718,0.1703,0.1703,,,
Train,15,3,0.0004,0.2869,0.0138,0.0118,0.0088,0.0138,0.0138,0.2864,0.2864,0.2864,,,
Train,15,4,-0.0006,0.2153,0.0140,0.0119,0.0107,0.0140,0.0140,0.2071,0.2081,0.2081,,,
Train,15,5,-0.0016,0.1285,0.0112,0.0108,0.0107,0.0112,0.0112,0.1148,0.1166,0.1166,,,
Train,15,6,-0.0009,0.0647,NA,0.0136,0.0136,0.0136,0.0136,0.0468,0.0478,0.0478,,,
Train,15,7,-0.0016,0.0454,NA,0.0126,0.0126,0.0126,0.0126,0.0447,0.0126,0.0126,,,
Train,15,8,-0.0044,0.0912,NA,0.0306,0.0306,0.0306,0.0306,0.0875,0.0866,0.0866,,,
Train,15,9,-0.0040,0.1275,NA,0.0376,0.0376,0.0376,0.0376,0.1209,0.1209,0.1209,,,
Train,16,1,0.0040,0.3697,0.0151,0.0129,0.0123,0.0151,0.0151,0.3562,0.3569,0.3580,,,
Train,16,2,-0.0008,0.3037,0.0081,0.0111,0.0106,0.0129,0.0129,0.2921,0.2924,0.2916,,,
Train,16,3,-0.0006,0.3101,0.0135,0.0116,0.0084,0.0135,0.0135,0.2821,0.2824,0.2837,,,
Train,16,4,-0.0009,0.1788,0.0158,0.0158,0.0158,0.0158,0.0158,0.1675,0.1643,0.1643,,,
Train,16,5,-0.0017,0.1739,0.0117,0.0099,0.0084,0.0117,0.0117,0.1703,0.1699,0.1699,,,
Train,16,6,-0.0003,0.0539,NA,0.0114,0.0114,0.0114,0.0114,0.0482,0.0477,0.0477,,,
Train,16,7,-0.0008,0.0332,NA,0.0109,0.0109,0.0109,0.0109,0.0244,0.0112,0.0112,,,
Train,16,8,-0.0046,0.0678,NA,0.0231,0.0231,0.0231,0.0231,0.0667,0.0657,0.0657,,,
Train,16,9,-0.0033,0.1194,NA,0.0347,0.0347,0.0347,0.0347,0.1172,0.1164,0.1164,,,
Train,17,1,0.0011,0.2943,NA,0.0084,0.0079,0.0100,0.0100,0.0000,0.0084,0.0100,,,
Train,17,2,0.0007,0.1374,NA,0.0092,0.0090,0.0104,0.0104,0.0000,0.0092,0.0104,,,
Train,17,3,0.0011,0.0835,0.0108,0.0098,0.0096,0.0108,0.0108,0.0000,0.0098,0.0108,,,
Train,17,4,0.0013,0.0548,0.0113,0.0108,0.0107,0.0113,0.0113,0.0000,0.0108,0.0113,,,
Train,17,5,-0.0032,0.0130,0.0072,0.0054,0.0047,0.0072,0.0072,0.0000,0.0054,0.0072,,,
Train,17,6,-0.0018,0.0366,0.0094,0.0090,0.0090,0.0099,0.0099,0.0000,0.0090,0.0099,,,
Train,17,7,-0.0021,0.0329,NA,0.0094,0.0096,0.0096,0.0096,0.0000,0.0094,0.0096,,,
Train,17,8,-0.0171,0.2305,NA,0.0565,0.0565,0.0565,0.0565,0.1304,0.1278,0.1278,,,
Train,17,9,-0.0103,0.1640,NA,0.0374,0.0374,0.0374,0.0374,0.1593,0.1612,0.1612,,,
Train,18,1,-0.0005,0.4043,0.0115,0.0097,0.0072,0.0115,0.0115,0.3507,0.3481,0.3496,,,
Train,18,2,-0.0004,0.2921,0.0034,0.0095,0.0074,0.0114,0.0114,0.0000,0.0095,0.0114,,,
Train,18,3,-0.0005,0.1419,0.0094,0.0105,0.0083,0.0126,0.0126,0.0000,0.0105,0.0126,,,
Train,18,4,-0.0029,0.1966,0.0045,0.0101,0.0084,0.0121,0.0121,0.1364,0.1457,0.1414,,,
Train,18,5,-0.0026,0.0401,0.0085,0.0076,0.0068,0.0085,0.0085,0.0000,0.0076,0.0085,,,
Train,18,6,-0.0017,0.0813,NA,0.0129,0.0104,0.0151,0.0151,0.0047,0.0129,0.0151,,,
Train,18,7,-0.0019,0.0800,NA,0.0139,0.0107,0.0160,0.0160,0.0597,0.0139,0.0160,,,
Train,18,8,-0.0076,0.1411,NA,0.0316,0.0316,0.0316,0.0316,0.1364,0.1355,0.1355,,,
Train,18,9,-0.0050,0.1107,NA,0.0222,0.0222,0.0222,0.0222,0.1044,0.1054,0.1054,,,
Train,19,1,0.0041,0.1338,0.0075,0.0068,0.0051,0.0075,0.0075,0.0000,0.0068,0.0075,,,
Train,19,2,0.0040,0.0762,0.0086,0.0076,0.0059,0.0086,0.0086,0.0000,0.0076,0.0086,,,
Train,19,3,0.0021,0.0795,0.0085,0.0064,0.0047,0.0085,0.0085,0.0668,0.0064,0.0085,,,
Train,19,4,0.0023,0.0677,0.0094,0.0072,0.0053,0.0094,0.0094,0.0620,0.0340,0.0094,,,
Train,19,5,0.0003,0.0276,0.0064,0.0046,0.0037,0.0064,0.0064,0.0000,0.0046,0.0064,,,
Train,19,6,-0.0001,0.0688,NA,0.0102,0.0081,0.0127,0.0127,0.0330,0.0102,0.0127,,,
Train,19,7,-0.0003,0.0503,NA,0.0093,0.0084,0.0112,0.0112,0.0000,0.0093,0.0112,,,
Train,19,8,-0.0152,0.1303,NA,0.0511,0.0511,0.0511,0.0511,0.1102,0.1112,0.1112,,,
Train,19,9,-0.0083,0.1051,NA,0.0329,0.0329,0.0329,0.0329,0.0942,0.0911,0.0911,,,
Train,20,1,0.0013,0.1707,0.0165,0.0161,0.0083,0.0165,0.0165,0.0000,0.0161,0.0165,,,
Train,20,2,0.0018,0.1273,0.0165,0.0145,0.0095,0.0165,0.0165,0.0570,0.0145,0.0165,,,
Train,20,3,0.0023,0.0814,0.0090,0.0081,0.0079,0.0090,0.0090,0.0697,0.0697,0.0697,,,
Train,20,4,0.0014,0.1212,0.0096,0.0110,0.0109,0.0116,0.0116,0.0543,0.0645,0.0696,,,
Train,20,5,-0.0016,0.0459,NA,0.0145,0.0100,0.0159,0.0159,0.0273,0.0146,0.0159,,,
Train,20,6,-0.0003,0.0818,NA,0.0147,0.0135,0.0163,0.0163,0.0714,0.0720,0.0691,,,
Train,20,7,-0.0005,0.0721,NA,0.0157,0.0138,0.0174,0.0174,0.0618,0.0640,0.0640,,,
Train,20,8,-0.0115,0.1345,NA,0.0480,0.0480,0.0480,0.0480,0.1328,0.1318,0.1318,,,
Train,20,9,-0.0086,0.1187,NA,0.0373,0.0373,0.0373,0.0373,0.1132,0.1115,0.1115,,,
Train,21,1,-0.0005,0.2709,0.0260,0.0216,0.0183,0.0260,0.0260,0.1405,0.0216,0.0260,,,
Train,21,2,-0.0003,0.2302,0.0141,0.0217,0.0201,0.0257,0.0257,0.1745,0.1745,0.1764,,,
Train,21,3,0.0021,0.1548,0.0144,0.0122,0.0112,0.0144,0.0144,0.1421,0.1422,0.1449,,,
Train,21,4,-0.0024,0.1565,NA,0.0144,0.0075,0.0169,0.0169,0.1523,0.1528,0.1542,,,
Train,21,5,-0.0033,0.0554,NA,0.0182,0.0100,0.0184,0.0184,0.0473,0.0438,0.0437,,,
Train,21,6,-0.0032,0.0835,NA,0.0170,0.0120,0.0188,0.0188,0.0558,0.0773,0.0774,,,
Train,21,7,-0.0034,0.0797,NA,0.0187,0.0125,0.0203,0.0203,0.0569,0.0755,0.0755,,,
Train,21,8,-0.0109,0.1218,NA,0.0438,0.0438,0.0438,0.0438,0.1204,0.1196,0.1196,,,
